CD_STATION;NUM_COM;NOM_COM;NUM_DEP;codagence;ALTITUDE;PROFONDEUR_MAXI_POINT;Unité_coord_fictifs;X_FICT_L93;Y_FICT_L93;CD_ME_v2;CD_ME_niv1_surf;reseau2009;reseau2010;reseau2011;reseau2012;reseau2013;reseau2014;fi_ma_2007;fi_ma_2008;fi_ma_2009;fi_ma_2010;fi_ma_2011;fi_ma_2012;fi_ma_2013;fi_ma_2014;
08733X0017/F2;40046;BISCARROSSE;40;AEAG;24;147;40046_FRFG105_FRFG045;373982,2581;6376009,896;FG070;FG045;Hors RCS et RCO;;;;;;;;oui;;;;;;
09006X0051/F;40053;BOURRIOT-BERGONCE;40;AEAG;133;39.5;40053_FRFG084_FRFG046;444917,6686;6345487,259;FG084;FG046;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;;;;;oui;oui;
09512X0046/F;40062;CAMPET-ET-LAMOLERE;40;AEAG;42;101;40062_FRFG070_FRFG046;411157,0471;6319671,388;;FG046;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;
09512X0039/F;40062;CAMPET-ET-LAMOLERE;40;AEAG;43;81;40062_FRFG070_FRFG046;409052,7223;6321278,379;;FG046;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
09512X0029/F3;40062;CAMPET-ET-LAMOLERE;40;AEAG;46;118;40062_FRFG084_FRFG046;415141,2163;6319190,221;;FG046;Hors RCS et RCO;horsRCSRCODRIRE;;;;;oui;;oui;;;;;;
09507X0039/F;40068;CASSEN;40;AEAG;35;55;40068_FRFG082_FRFG044;388459,8082;6302488,955;FG081;FG044;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;;;;;oui;;
09784X0010/F3;40072;CASTELNAU-TURSAN;40;AEAG;111,32;372;40072_FRFG082_FRFG044;425249,7577;6289901,768;FG082;FG044;RCS;RCSseul;RCSseul;RCSseul;RCSseul;RCSseul;oui;;;;;;oui;oui;
09494X0027/F3;40075;CASTETS;40;AEAG;51;61;40075_FRFG105_FRFG045;367204,3324;6318570,706;;FG045;Hors RCS et RCO;horsRCSRCODRIRE;;;;;;oui;;;;;;;
09494X0042/F4;40075;CASTETS;40;AEAG;53;62;40075_FRFG105_FRFG045;366764,3606;6317449,457;;FG045;Hors RCS et RCO;;;;;;oui;;oui;;;;;;
09267X0013/F1;40087;CREON-D'ARMAGNAC;40;AEAG;152;61;40087_FRFG084_FRFG046;451490,9039;6327132,966;;FG046;Hors RCS et RCO;;;;;;;oui;;;;;;;
