"ID","Autre_quantite-totale-2015","N minéral_quantite-totale-2015","N Organique_quantite-totale-2015","Toxique_quantite-totale-2015","Autre_quantite-totale-2016","N minéral_quantite-totale-2016","N Organique_quantite-totale-2016","Toxique_quantite-totale-2016","Autre_quantite-totale-2017","N minéral_quantite-totale-2017","N Organique_quantite-totale-2017","Toxique_quantite-totale-2017","Autre_quantite-totale-2018","N minéral_quantite-totale-2018","N Organique_quantite-totale-2018","Toxique_quantite-totale-2018"
"56370",604.618,37.577013,1635.130122,338.263315,134.067757,7.02085,1216.338397,283.296133,455.158191,26.255,1623.367673,217.074417,370.928097,28.85085,951.988807,148.503102
"56380",1752.668121,40.704463,6341.235099,3317.545558,1982.989521,36.935638,7755.493618,3201.878688,1658.114156,46.887638,8241.907817,2136.544998,1802.063695,7.2,10198.771608,2911.755025
"56390",834.952812,107.986276,7522.834146,2542.104773,1020.914313,56.455,5906.458846,2229.226026,1223.884609,125.525,6541.816266,1644.230153,1753.594382,80.77,6438.946574,1782.112056
"56400",2293.635432,70.60778,6167.367073,1970.682087,1208.199546,40.01676,4900.635327,1463.485214,1528.263524,58.980052,6205.566339,1079.775796,1543.107208,34.83238,7025.752145,1308.110434
"56410",39.82983,8.2,550.453666,121.2162,16.72025,12,392.18515,166.8091,47.8054,4,412.14705,104.36255,43.23408,12,355.41565,109.259
"56420",1121.105466,26.355,8614.04947,2948.23687,1417.717532,16.08,8140.71842,3264.049015,1161.681058,28.571,9137.492432,2557.07332,2113.568233,18.425,9391.852284,2619.30486
"56430",2293.088533,21.26405,8220.28529,4384.795405,3961.646558,19.6475,8740.525118,4111.53061,1903.951098,21.152138,9160.163061,3171.119653,2780.535209,8,8622.547574,3372.2211
"56440",427.683852,NA,3228.199972,1063.3127,539.436548,NA,4080.429026,1507.1743,325.206003,NA,4182.082774,1299.8215,950.909288,15,4750.264204,1587.8377
"56450",1004.027448,38.60255,8019.262076,2670.789829,875.950678,17.42,7535.479021,2507.510172,1888.992723,25.545,9307.958394,2622.529419,2275.751299,23.14585,6978.592164,1749.8268
"56460",803.339096,15.1,5885.353013,1764.263115,718.458304,6.26,6472.96977,1659.031918,604.889735,11.34,5468.681781,1080.272218,1073.268251,4.14,6424.756086,1580.31854
"56470",11.551359,0.22,169.18522,40.081,10.20025,NA,250.81313,77.5718,6.099779,0.000638,187.612018,41.021015,21.016065,NA,201.06295,56.4703
"56480",15036.151188,25.480638,7427.831642,2805.675799,19171.221161,28.1525,7085.959349,3673.348466,20918.155768,22.444775,8587.241777,3707.289405,17288.023016,47.2,9775.821084,5264.6445
"56490",4036.002298,28.256,14484.456161,7853.948965,3848.431291,30.64,14137.374713,7240.098493,4015.169725,36.56,15628.705602,5236.959468,6811.653209,80.34,17355.740914,7191.574671
"56500",11439.236084,77.592788,26384.353077,10301.24035,11013.80665,77.685,20497.951355,8035.544256,12673.160755,89.08255,31773.005168,10973.808769,17874.142442,50.14,32318.005234,12807.11999
"56510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56520",274.488739,0.14,1504.108226,433.07995,192.724628,12,1611.509708,498.712575,423.033363,8.4,1494.055786,521.061515,441.337402,8,2100.222954,512.0625
"56530",1040.999808,32.872688,1000.953157,212.795149,621.795134,58.969463,881.275972,289.318304,842.876062,30.196,790.526634,222.855643,89.102662,NA,816.933692,188.334
"56540",311.719281,0.14,3739.054962,1044.9227,617.409786,NA,3332.488012,923.41485,269.103661,0.140638,3171.827123,711.62,489.047668,NA,2535.09059,506.08095
"56550",107.988684,22.12,1170.4517,376.465844,109.06922,4.2,972.66058,383.92925,77.432196,4,1580.24685,384.1268,103.709638,8,1926.03869,352.95375
"56560",307.905226,2.24,3649.854154,1042.860602,421.580482,0.96,2977.825026,985.9693,144.663139,2.56,2478.31949,525.788025,303.789068,3.56,2864.61445,529.71455
"56570",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56580",1560.924967,30.196,10310.366791,3876.805123,1746.352042,31.555,8109.287201,3345.808703,1525.274841,23.428,9444.626443,3265.753724,3032.004205,11.195,11325.534554,4067.379434
"56590",1.782565,NA,42.16254,23.937565,1.03125,NA,23.325,20.625,0.125,NA,21.704,38.875,0.27,NA,7.83,NA
"56600",38.138261,3.225,176.668186,147.4005,41.5675,NA,164.95625,70.4865,36.9583,NA,381.94259,94.012,75.908419,4,394.317936,54.963
"56610",155.427065,2.86,408.303254,226.71275,120.422378,6.51,337.564057,229.613188,60.369091,1,253.99638,65.75625,196.7557,NA,131.438608,73.5774
